code,store,product_type,product_unit,name_ar
3010,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي بحبل
3011,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي بحبل
3012,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي بحبل
3013,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي بحبل
3014,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي بحبل
3015,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي ولاصق
3016,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي ولاصق
3017,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي ولاصق
3018,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي ولاصق
3019,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي ولاصق
3020,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي ولاصق
3021,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي بحبل
3026,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي بحبل
3027,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بحبل
3028,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بحبل
3029,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بلاصق
3030,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بحبل
3031,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بلاصق
3032,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بلاصق
3033,JOHRH,201,pc,نقاب جوهرة بشعار معدني فضي ولاصق
3034,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي بحبل
3035,JOHRH,201,pc,نقاب جوهرة بشعار معدني ذهبي ولاصق
3036,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بحبل
3037,JOHRH,201,pc,نقابات جوهرة بشعار قماشي بلاصق
5000,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5001,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5002,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5003,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5004,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5005,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5006,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5007,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد
5026,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد بوتيقا
5027,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد بوتيقا
5028,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد بوتيقا
5029,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد بوتيقا
5030,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد بوتيقا
5031,JOHRH,203,pc,شنطة جوال وبطائق بستراب جلد بوتيقا
5032,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5033,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5034,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5035,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5036,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5037,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5038,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5039,JOHRH,203,pc,شنطة آيباد جلد تمساح بسحاب داخلي ومسكة
5040,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5041,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5042,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5043,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5044,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5045,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5046,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5047,JOHRH,203,pc,شنطة آيباد جلد ثعبان بسحاب داخلي ومسكة
5048,JOHRH,203,pc,شنطة آيباد جلد تمساح مطفي بسحاب داخلي ومسكة
5049,JOHRH,203,pc,شنطة آيباد جلد تمساح مطفي بسحاب داخلي ومسكة
5050,JOHRH,203,pc,شنطة آيباد جلد تمساح مطفي بسحاب داخلي ومسكة
5051,JOHRH,203,pc,شنطة آيباد جلد تمساح مطفي بسحاب داخلي ومسكة
5052,JOHRH,203,pc,شنطة آيباد جلد تمساح مطفي بسحاب داخلي ومسكة
