code,product,product_type,product_unit,sale_price,product_attribute_abaya_size,product_attribute_abaya_height
3010,3010,201,pc,34,,
3011,3011,201,pc,34,,
3012,3012,201,pc,34,,
3013,3013,201,pc,34,,
3014,3014,201,pc,34,,
3015,3015,201,pc,34,,
3016,3016,201,pc,34,,
3017,3017,201,pc,34,,
3018,3018,201,pc,34,,
3019,3019,201,pc,34,,
3020,3020,201,pc,34,,
3021,3021,201,pc,34,,
3026,3026,201,pc,34,,
3027,3027,201,pc,34,,
3028,3028,201,pc,34,,
3029,3029,201,pc,34,,
3030,3030,201,pc,34,,
3031,3031,201,pc,34,,
3032,3032,201,pc,34,,
3033,3033,201,pc,34,,
3034,3034,201,pc,34,,
3035,3035,201,pc,34,,
3036,3036,201,pc,34,,
3037,3037,201,pc,34,,
5000,5000,203,pc,159,,
5001,5001,203,pc,159,,
5002,5002,203,pc,159,,
5003,5003,203,pc,159,,
5004,5004,203,pc,159,,
5005,5005,203,pc,159,,
5006,5006,203,pc,159,,
5007,5007,203,pc,159,,
5026,5026,203,pc,159,,
5027,5027,203,pc,159,,
5028,5028,203,pc,159,,
5029,5029,203,pc,159,,
5030,5030,203,pc,159,,
5031,5031,203,pc,159,,
5032,5032,203,pc,199,,
5033,5033,203,pc,199,,
5034,5034,203,pc,199,,
5035,5035,203,pc,199,,
5036,5036,203,pc,199,,
5037,5037,203,pc,199,,
5038,5038,203,pc,199,,
5039,5039,203,pc,199,,
5040,5040,203,pc,199,,
5041,5041,203,pc,199,,
5042,5042,203,pc,199,,
5043,5043,203,pc,199,,
5044,5044,203,pc,199,,
5045,5045,203,pc,199,,
5046,5046,203,pc,199,,
5047,5047,203,pc,199,,
5048,5048,203,pc,199,,
5049,5049,203,pc,199,,
5050,5050,203,pc,199,,
5051,5051,203,pc,199,,
5052,5052,203,pc,199,,
5053,5053,203,pc,199,,
5054,5054,203,pc,199,,
5055,5055,203,pc,199,,
5056,5056,203,pc,199,,
5057,5057,203,pc,199,,
5058,5058,203,pc,199,,
5059,5059,203,pc,199,,
5060,5060,203,pc,199,,
5061,5061,203,pc,199,,
5062,5062,203,pc,199,,
5063,5063,203,pc,199,,
5064,5064,203,pc,199,,
5065,5065,203,pc,199,,
5066,5066,203,pc,199,,
5067,5067,203,pc,199,,
5068,5068,203,pc,199,,
5069,5069,203,pc,199,,
5070,5070,204,pc,89,,
5071,5071,204,pc,89,,
5072,5072,204,pc,89,,
5073,5073,204,pc,89,,
5074,5074,204,pc,89,,
5076,5076,204,pc,89,,
5077,5077,204,pc,89,,
5078,5078,204,pc,89,,
5079,5079,204,pc,89,,
5080,5080,204,pc,89,,
5081,5081,204,pc,89,,
5082,5082,204,pc,89,,
5083,5083,204,pc,89,,
5084,5084,204,pc,89,,
5086,5086,204,pc,89,,
5087,5087,204,pc,89,,
5088,5088,204,pc,89,,
5089,5089,203,pc,299,,
5090,5090,203,pc,299,,
5091,5091,203,pc,299,,
5092,5092,203,pc,299,,
5093,5093,203,pc,299,,
5094,5094,203,pc,299,,
5099,5099,203,pc,299,,
5100,5100,203,pc,299,,
5101,5101,203,pc,299,,
5102,5102,203,pc,299,,
5103,5103,203,pc,299,,
5104,5104,203,pc,299,,
5105,5105,203,pc,119,,
5129,5129,203,pc,299,,
5130,5130,203,pc,299,,
5131,5131,203,pc,299,,
5132,5132,203,pc,299,,
5133,5133,203,pc,299,,
5134,5134,203,pc,299,,
5136,5136,203,pc,219,,
5137,5137,203,pc,219,,
5138,5138,203,pc,219,,
5139,5139,203,pc,219,,
5140,5140,203,pc,219,,
5141,5141,203,pc,299,,
5142,5142,203,pc,299,,
5144,5144,203,pc,299,,
5145,5145,203,pc,299,,
5146,5146,203,pc,279,,
5147,5147,203,pc,279,,
5148,5148,203,pc,279,,
5149,5149,203,pc,279,,
5150,5150,203,pc,279,,
5151,5151,203,pc,299,,
5152,5152,203,pc,299,,
5153,5153,203,pc,299,,
5154,5154,203,pc,299,,
5155,5155,203,pc,299,,
5170,5170,203,pc,119,,
5171,5171,203,pc,119,,
5172,5172,203,pc,119,,
5173,5173,203,pc,119,,
5174,5174,203,pc,119,,
5175,5175,203,pc,119,,
5176,5176,203,pc,119,,
5177,5177,203,pc,109,,
5178,5178,203,pc,109,,
5179,5179,203,pc,109,,
5180,5180,203,pc,109,,
5181,5181,203,pc,109,,
5182,5182,203,pc,109,,
5183,5183,203,pc,109,,
5184,5184,203,pc,109,,
5185,5185,203,pc,109,,
5186,5186,203,pc,109,,
5187,5187,203,pc,109,,
5188,5188,203,pc,109,,
5189,5189,203,pc,119,,
5190,5190,203,pc,119,,
5191,5191,203,pc,119,,
5192,5192,203,pc,119,,
5193,5193,203,pc,119,,
5194,5194,203,pc,119,,
5195,5195,203,pc,119,,
5196,5196,203,pc,119,,
5197,5197,203,pc,119,,
5198,5198,203,pc,119,,
5199,5199,203,pc,119,,
5200,5200,203,pc,119,,
5201,5201,203,pc,119,,
5202,5202,203,pc,119,,
5203,5203,203,pc,239,,
5204,5204,203,pc,239,,
5205,5205,203,pc,239,,
5206,5206,203,pc,239,,
5207,5207,203,pc,239,,
5242,5242,203,pc,149,,
5243,5243,203,pc,149,,
5244,5244,203,pc,149,,
5245,5245,203,pc,149,,
5246,5246,203,pc,139,,
5247,5247,203,pc,139,,
5248,5248,203,pc,139,,
5249,5249,203,pc,139,,
5254,5254,203,pc,149,,
5255,5255,203,pc,149,,
5256,5256,203,pc,149,,
5257,5257,203,pc,149,,
5258,5258,203,pc,149,,
5259,5259,203,pc,139,,
5260,5260,203,pc,139,,
5261,5261,203,pc,139,,
5262,5262,203,pc,139,,
5263,5263,203,pc,139,,
5264,5264,203,pc,189,,
5265,5265,203,pc,189,,
5266,5266,203,pc,189,,
5267,5267,203,pc,189,,
5268,5268,203,pc,189,,
5269,5269,203,pc,239,,
5270,5270,203,pc,239,,
5271,5271,203,pc,239,,
5272,5272,203,pc,239,,
5273,5273,203,pc,239,,
5274,5274,203,pc,109,,
5275,5275,203,pc,109,,
5276,5276,203,pc,109,,
5277,5277,203,pc,109,,
5278,5278,203,pc,109,,
7039,7039,205,pc,29,,
7040,7040,205,pc,29,,
7041,7041,205,pc,29,,
10206052,10206,104,pc,290,abaya_size-52,
10206054,10206,104,pc,290,abaya_size-54,
10206056,10206,104,pc,290,abaya_size-56,
10206058,10206,104,pc,290,abaya_size-58,
10206060,10206,104,pc,290,abaya_size-60,
10238052,10238,105,pc,290,abaya_size-52,
10238054,10238,105,pc,290,abaya_size-54,
10238056,10238,105,pc,290,abaya_size-56,
10238058,10238,105,pc,290,abaya_size-58,
10238060,10238,105,pc,290,abaya_size-60,
10314052,10314,102,pc,300,abaya_size-52,
10314054,10314,102,pc,300,abaya_size-54,
10314056,10314,102,pc,300,abaya_size-56,
10314058,10314,102,pc,300,abaya_size-58,
10314060,10314,102,pc,300,abaya_size-60,
10441052,10441,102,pc,449,abaya_size-52,
10441054,10441,102,pc,449,abaya_size-54,
10441056,10441,102,pc,449,abaya_size-56,
10441058,10441,102,pc,449,abaya_size-58,
10441060,10441,102,pc,449,abaya_size-60,
1003052,1003,102,pc,210,abaya_size-52,
1003054,1003,102,pc,210,abaya_size-54,
1003056,1003,102,pc,210,abaya_size-56,
1003058,1003,102,pc,210,abaya_size-58,
1003060,1003,102,pc,210,abaya_size-60,
1004052,1004,102,pc,230,abaya_size-52,
1004054,1004,102,pc,230,abaya_size-54,
1004056,1004,102,pc,230,abaya_size-56,
1004058,1004,102,pc,230,abaya_size-58,
1004060,1004,102,pc,230,abaya_size-60,
1005052,1005,102,pc,242,abaya_size-52,
1005054,1005,102,pc,242,abaya_size-54,
1005056,1005,102,pc,242,abaya_size-56,
1005058,1005,102,pc,242,abaya_size-58,
1005060,1005,102,pc,242,abaya_size-60,
1013052,1013,102,pc,229,abaya_size-52,
1013054,1013,102,pc,229,abaya_size-54,
1013056,1013,102,pc,229,abaya_size-56,
1013058,1013,102,pc,229,abaya_size-58,
1013060,1013,102,pc,229,abaya_size-60,
1029052,1029,103,pc,247,abaya_size-52,
1029054,1029,103,pc,247,abaya_size-54,
1029056,1029,103,pc,247,abaya_size-56,
1029058,1029,103,pc,247,abaya_size-58,
1029060,1029,103,pc,247,abaya_size-60,
1034054,10340,101,pc,322,abaya_size-54,
1034056,10340,101,pc,322,abaya_size-56,
1034058,10340,101,pc,322,abaya_size-58,
1034060,10340,101,pc,322,abaya_size-60,
1035052,1035,102,pc,247,abaya_size-52,
1035054,1035,102,pc,247,abaya_size-54,
1035056,1035,102,pc,247,abaya_size-56,
1035058,1035,102,pc,247,abaya_size-58,
1035060,1035,102,pc,247,abaya_size-60,
1037052,1037,102,pc,242,abaya_size-52,
1037054,1037,102,pc,242,abaya_size-54,
1037056,1037,102,pc,242,abaya_size-56,
1037058,1037,102,pc,242,abaya_size-58,
1037060,1037,102,pc,242,abaya_size-60,
1038052,1038,102,pc,210,abaya_size-52,
1038054,1038,102,pc,210,abaya_size-54,
1038056,1038,102,pc,210,abaya_size-56,
1038058,1038,102,pc,210,abaya_size-58,
1038060,1038,102,pc,210,abaya_size-60,
1039052,1039,102,pc,170,abaya_size-52,
1039054,1039,102,pc,170,abaya_size-54,
1039056,1039,102,pc,170,abaya_size-56,
1039058,1039,102,pc,170,abaya_size-58,
1039060,1039,102,pc,170,abaya_size-60,
1042052,1042,102,pc,224,abaya_size-52,
1042054,1042,102,pc,224,abaya_size-54,
1042056,1042,102,pc,224,abaya_size-56,
1042058,1042,102,pc,224,abaya_size-58,
1042060,1042,102,pc,224,abaya_size-60,
1053052,1053,102,pc,173,abaya_size-52,
1053054,1053,102,pc,173,abaya_size-54,
1053056,1053,102,pc,173,abaya_size-56,
1053058,1053,102,pc,173,abaya_size-58,
1053060,1053,102,pc,173,abaya_size-60,
1055052,1055,101,pc,224,abaya_size-52,
1055054,1055,101,pc,224,abaya_size-54,
1055056,1055,101,pc,224,abaya_size-56,
1055058,1055,101,pc,224,abaya_size-58,
1055060,1055,101,pc,224,abaya_size-60,
1056052,1056,104,pc,210,abaya_size-52,
1056054,1056,104,pc,210,abaya_size-54,
1056056,1056,104,pc,210,abaya_size-56,
1056058,1056,104,pc,210,abaya_size-58,
1056060,1056,104,pc,210,abaya_size-60,
1057052,1057,104,pc,210,abaya_size-52,
1057054,1057,104,pc,210,abaya_size-54,
1057056,1057,104,pc,210,abaya_size-56,
1057058,1057,104,pc,210,abaya_size-58,
1057060,1057,104,pc,210,abaya_size-60,
1058052,1058,104,pc,199,abaya_size-52,
1058054,1058,104,pc,199,abaya_size-54,
1058056,1058,104,pc,199,abaya_size-56,
1058058,1058,104,pc,199,abaya_size-58,
1058060,1058,104,pc,199,abaya_size-60,
1059052,1059,103,pc,0,abaya_size-52,
1059054,1059,103,pc,201,abaya_size-54,
1059056,1059,103,pc,201,abaya_size-56,
1059058,1059,103,pc,0,abaya_size-58,
1059060,1059,103,pc,201,abaya_size-60,
1061052,1061,102,pc,184,abaya_size-52,
1061054,1061,102,pc,184,abaya_size-54,
1061056,1061,102,pc,184,abaya_size-56,
1061058,1061,102,pc,184,abaya_size-58,
1061060,1061,102,pc,184,abaya_size-60,
1064052,1064,101,pc,219,abaya_size-52,
1064054,1064,101,pc,219,abaya_size-54,
1064056,1064,101,pc,219,abaya_size-56,
1064058,1064,101,pc,219,abaya_size-58,
1064060,1064,101,pc,219,abaya_size-60,
1066052,1066,101,pc,190,abaya_size-52,
1066054,1066,101,pc,190,abaya_size-54,
1066056,1066,101,pc,190,abaya_size-56,
1066058,1066,101,pc,190,abaya_size-58,
1066060,1066,101,pc,190,abaya_size-60,
1068052,1068,103,pc,224,abaya_size-52,
1068054,1068,103,pc,224,abaya_size-54,
1068056,1068,103,pc,224,abaya_size-56,
1068058,1068,103,pc,224,abaya_size-58,
1068060,1068,103,pc,224,abaya_size-60,
1073052,1073,103,pc,161,abaya_size-52,
1073054,1073,103,pc,161,abaya_size-54,
1073056,1073,103,pc,161,abaya_size-56,
1073058,1073,103,pc,161,abaya_size-58,
1073060,1073,103,pc,161,abaya_size-60,
1074052,1074,101,pc,190,abaya_size-52,
1074054,1074,101,pc,190,abaya_size-54,
1074056,1074,101,pc,190,abaya_size-56,
1074058,1074,101,pc,190,abaya_size-58,
1074060,1074,101,pc,190,abaya_size-60,
1075052,1075,104,pc,253,abaya_size-52,
1075054,1075,104,pc,253,abaya_size-54,
1075056,1075,104,pc,253,abaya_size-56,
1075058,1075,104,pc,253,abaya_size-58,
1075060,1075,104,pc,253,abaya_size-60,
1076052,1076,101,pc,242,abaya_size-52,
1076054,1076,101,pc,242,abaya_size-54,
1076056,1076,101,pc,242,abaya_size-56,
1076058,1076,101,pc,242,abaya_size-58,
1076060,1076,101,pc,242,abaya_size-60,
1077052,1077,101,pc,219,abaya_size-52,
1077054,1077,101,pc,219,abaya_size-54,
1077056,1077,101,pc,219,abaya_size-56,
1077058,1077,101,pc,219,abaya_size-58,
1077060,1077,101,pc,219,abaya_size-60,
1078052,1078,101,pc,184,abaya_size-52,
1078054,1078,101,pc,184,abaya_size-54,
1078056,1078,101,pc,184,abaya_size-56,
1078058,1078,101,pc,184,abaya_size-58,
1078060,1078,101,pc,184,abaya_size-60,
1079052,1079,103,pc,219,abaya_size-52,
1079054,1079,103,pc,219,abaya_size-54,
1079056,1079,103,pc,219,abaya_size-56,
1079058,1079,103,pc,219,abaya_size-58,
1079060,1079,103,pc,219,abaya_size-60,
1080052,1080,102,pc,199,abaya_size-52,
1080054,1080,102,pc,199,abaya_size-54,
1080056,1080,102,pc,199,abaya_size-56,
1080058,1080,102,pc,199,abaya_size-58,
1080060,1080,102,pc,199,abaya_size-60,
1084052,1084,102,pc,264,abaya_size-52,
1084054,1084,102,pc,264,abaya_size-54,
1084056,1084,102,pc,264,abaya_size-56,
1084058,1084,102,pc,264,abaya_size-58,
1084060,1084,102,pc,264,abaya_size-60,
1086052,1086,103,pc,299,abaya_size-52,
1086054,1086,103,pc,299,abaya_size-54,
1086056,1086,103,pc,299,abaya_size-56,
1086058,1086,103,pc,299,abaya_size-58,
1086060,1086,103,pc,299,abaya_size-60,
1088052,1088,103,pc,276,abaya_size-52,
1088054,1088,103,pc,276,abaya_size-54,
1088056,1088,103,pc,276,abaya_size-56,
1088058,1088,103,pc,276,abaya_size-58,
1088060,1088,103,pc,276,abaya_size-60,
1089052,1089,102,pc,253,abaya_size-52,
1089054,1089,102,pc,253,abaya_size-54,
1089056,1089,102,pc,253,abaya_size-56,
1089058,1089,102,pc,253,abaya_size-58,
1089060,1089,102,pc,253,abaya_size-60,
1090052,1090,101,pc,277,abaya_size-52,
1090054,1090,101,pc,277,abaya_size-54,
1090056,1090,101,pc,277,abaya_size-56,
1090058,1090,101,pc,277,abaya_size-58,
1090060,1090,101,pc,277,abaya_size-60,
1097052,1097,102,pc,334,abaya_size-52,
1097054,1097,102,pc,334,abaya_size-54,
1097056,1097,102,pc,334,abaya_size-56,
1097058,1097,102,pc,334,abaya_size-58,
1097060,1097,102,pc,334,abaya_size-60,
1098052,1098,102,pc,339,abaya_size-52,
1098054,1098,102,pc,339,abaya_size-54,
1098056,1098,102,pc,339,abaya_size-56,
1098058,1098,102,pc,339,abaya_size-58,
1098060,1098,102,pc,339,abaya_size-60,
1099052,1099,102,pc,339,abaya_size-52,
1099054,1099,102,pc,339,abaya_size-54,
1099056,1099,102,pc,339,abaya_size-56,
1099058,1099,102,pc,339,abaya_size-58,
1099060,1099,102,pc,339,abaya_size-60,
1105052,1105,102,pc,207,abaya_size-52,
1105054,1105,102,pc,207,abaya_size-54,
1105056,1105,102,pc,207,abaya_size-56,
1105058,1105,102,pc,207,abaya_size-58,
1105060,1105,102,pc,207,abaya_size-60,
1108052,1108,103,pc,265,abaya_size-52,
1108054,1108,103,pc,265,abaya_size-54,
1108056,1108,103,pc,265,abaya_size-56,
1108058,1108,103,pc,265,abaya_size-58,
1108060,1108,103,pc,265,abaya_size-60,
1110052,1110,102,pc,170,abaya_size-52,
1110054,1110,102,pc,170,abaya_size-54,
1110056,1110,102,pc,170,abaya_size-56,
1110058,1110,102,pc,170,abaya_size-58,
1110060,1110,102,pc,170,abaya_size-60,
1114052,1114,103,pc,185,abaya_size-52,
1114054,1114,103,pc,185,abaya_size-54,
1114056,1114,103,pc,185,abaya_size-56,
1114058,1114,103,pc,185,abaya_size-58,
1114060,1114,103,pc,185,abaya_size-60,
1116052,1116,102,pc,226,abaya_size-52,
1116054,1116,102,pc,226,abaya_size-54,
1116056,1116,102,pc,226,abaya_size-56,
1116058,1116,102,pc,226,abaya_size-58,
1116060,1116,102,pc,226,abaya_size-60,
1117052,1117,103,pc,170,abaya_size-52,
1117054,1117,103,pc,170,abaya_size-54,
1117056,1117,103,pc,170,abaya_size-56,
1117058,1117,103,pc,170,abaya_size-58,
1117060,1117,103,pc,170,abaya_size-60,
1120052,1120,102,pc,253,abaya_size-52,
1120054,1120,102,pc,253,abaya_size-54,
1120056,1120,102,pc,253,abaya_size-56,
1120058,1120,102,pc,253,abaya_size-58,
1120060,1120,102,pc,253,abaya_size-60,
1121052,1121,102,pc,242,abaya_size-52,
1121054,1121,102,pc,242,abaya_size-54,
1121056,1121,102,pc,242,abaya_size-56,
1121058,1121,102,pc,242,abaya_size-58,
1121060,1121,102,pc,242,abaya_size-60,
1123052,1123,103,pc,255,abaya_size-52,
1123054,1123,103,pc,255,abaya_size-54,
1123056,1123,103,pc,255,abaya_size-56,
1123058,1123,103,pc,255,abaya_size-58,
1123060,1123,103,pc,255,abaya_size-60,
1129052,1129,102,pc,311,abaya_size-52,
1129054,1129,102,pc,311,abaya_size-54,
1129056,1129,102,pc,311,abaya_size-56,
1129058,1129,102,pc,311,abaya_size-58,
1129060,1129,102,pc,311,abaya_size-60,
1132052,1132,103,pc,322,abaya_size-52,
1132054,1132,103,pc,322,abaya_size-54,
1132056,1132,103,pc,322,abaya_size-56,
1132058,1132,103,pc,322,abaya_size-58,
1132060,1132,103,pc,322,abaya_size-60,
1134052,1134,103,pc,285,abaya_size-52,
1134054,1134,103,pc,285,abaya_size-54,
1134056,1134,103,pc,285,abaya_size-56,
1134058,1134,103,pc,285,abaya_size-58,
1134060,1134,103,pc,285,abaya_size-60,
1135052,1135,103,pc,184,abaya_size-52,
1135054,1135,103,pc,184,abaya_size-54,
1135056,1135,103,pc,184,abaya_size-56,
1135058,1135,103,pc,184,abaya_size-58,
1135060,1135,103,pc,184,abaya_size-60,
1137052,1137,102,pc,201,abaya_size-52,
1137054,1137,102,pc,201,abaya_size-54,
1137056,1137,102,pc,201,abaya_size-56,
1137058,1137,102,pc,201,abaya_size-58,
1137060,1137,102,pc,201,abaya_size-60,
1139052,1139,102,pc,170,abaya_size-52,
1139054,1139,102,pc,170,abaya_size-54,
1139056,1139,102,pc,170,abaya_size-56,
1139058,1139,102,pc,170,abaya_size-58,
1139060,1139,102,pc,170,abaya_size-60,
1144052,1144,103,pc,359,abaya_size-52,
1144054,1144,103,pc,359,abaya_size-54,
1144056,1144,103,pc,359,abaya_size-56,
1144058,1144,103,pc,359,abaya_size-58,
1144060,1144,103,pc,359,abaya_size-60,
1146052,1146,102,pc,350,abaya_size-52,
1146054,1146,102,pc,350,abaya_size-54,
1146056,1146,102,pc,350,abaya_size-56,
1146058,1146,102,pc,350,abaya_size-58,
1146060,1146,102,pc,350,abaya_size-60,
1147052,1147,102,pc,288,abaya_size-52,
1147054,1147,102,pc,288,abaya_size-54,
1147056,1147,102,pc,288,abaya_size-56,
1147058,1147,102,pc,288,abaya_size-58,
1147060,1147,102,pc,288,abaya_size-60,
1157052,1157,102,pc,170,abaya_size-52,
1157054,1157,102,pc,170,abaya_size-54,
1157056,1157,102,pc,170,abaya_size-56,
1157058,1157,102,pc,170,abaya_size-58,
1157060,1157,102,pc,170,abaya_size-60,
1159052,1159,102,pc,170,abaya_size-52,
1159054,1159,102,pc,170,abaya_size-54,
1159056,1159,102,pc,170,abaya_size-56,
1159058,1159,102,pc,170,abaya_size-58,
1159060,1159,102,pc,170,abaya_size-60,
1163052,1163,103,pc,184,abaya_size-52,
1163054,1163,103,pc,184,abaya_size-54,
1163056,1163,103,pc,184,abaya_size-56,
1163058,1163,103,pc,184,abaya_size-58,
1163060,1163,103,pc,184,abaya_size-60,
1165052,1165,102,pc,280,abaya_size-52,
1165054,1165,102,pc,280,abaya_size-54,
1165056,1165,102,pc,280,abaya_size-56,
1165058,1165,102,pc,280,abaya_size-58,
1165060,1165,102,pc,280,abaya_size-60,
1167052,1167,102,pc,170,abaya_size-52,
1167054,1167,102,pc,170,abaya_size-54,
1167056,1167,102,pc,170,abaya_size-56,
1167058,1167,102,pc,170,abaya_size-58,
1167060,1167,102,pc,170,abaya_size-60,
1169052,1169,103,pc,179,abaya_size-52,
1169054,1169,103,pc,179,abaya_size-54,
1169056,1169,103,pc,179,abaya_size-56,
1169058,1169,103,pc,179,abaya_size-58,
1169060,1169,103,pc,179,abaya_size-60,
1171052,1171,103,pc,179,abaya_size-52,
1171054,1171,103,pc,179,abaya_size-54,
1171056,1171,103,pc,179,abaya_size-56,
1171058,1171,103,pc,179,abaya_size-58,
1171060,1171,103,pc,179,abaya_size-60,
1172052,1172,103,pc,179,abaya_size-52,
1172054,1172,103,pc,179,abaya_size-54,
1172056,1172,103,pc,179,abaya_size-56,
1172058,1172,103,pc,179,abaya_size-58,
1172060,1172,103,pc,179,abaya_size-60,
1173052,1173,103,pc,169,abaya_size-52,
1173054,1173,103,pc,169,abaya_size-54,
1173056,1173,103,pc,169,abaya_size-56,
1173058,1173,103,pc,169,abaya_size-58,
1173060,1173,103,pc,169,abaya_size-60,
1174052,1174,102,pc,170,abaya_size-52,
1174054,1174,102,pc,170,abaya_size-54,
1174056,1174,102,pc,170,abaya_size-56,
1174058,1174,102,pc,170,abaya_size-58,
1174060,1174,102,pc,170,abaya_size-60,
1175052,1175,104,pc,170,abaya_size-52,
1175054,1175,104,pc,170,abaya_size-54,
1175056,1175,104,pc,170,abaya_size-56,
1175058,1175,104,pc,170,abaya_size-58,
1175060,1175,104,pc,170,abaya_size-60,
1177052,1177,103,pc,170,abaya_size-52,
1177054,1177,103,pc,170,abaya_size-54,
