sku,quantity
298054,1
1003056,1
1005056,2
1011054,2
1013054,2
1014056,3
1015052,82
1015054,107
1015056,63
1015058,59
1015060,60
1020058,1
1034060,43
1041056,1
1045054,1
1046052,1
1055052,1
1055056,1
1055058,1
1066052,1
1066054,2
1066056,4
1066058,2
1066060,1
1080052,3
1080054,4
1080060,2
1102052,1
1121054,1
1139056,2
1144052,3
1144054,4
1144058,2
1196054,1
1196058,1
1196060,1
1208056,1
1211054,1
1212060,1
1214052,3
1214054,3
1214060,2
1215060,1
1253052,2
1259054,1
1281060,1
1290058,1
1291054,1
1297056,1
1317052,1
1329052,9
1329054,3
1329056,2
1329058,7
1329060,13
1331052,1
1331054,1
1338056,1
1338058,2
1371058,1
1378052,2
1378054,5
1378056,5
1378058,11
1378060,5
1385054,2
1399054,1
1402060,2
1404058,1
1404060,1
1405052,2
1405060,2
1406054,1
1406056,1
1406058,3
1407052,1
1407054,1
1408056,1
1409054,2
1409056,1
1409058,1
1409060,2
1410054,1
1410058,9
1410060,3
1411054,1
1411056,1
1411058,1
1412054,2
1412056,1
1412060,1
1415056,10
1416058,10
1420056,1
1420058,2
1423054,1
1423056,3
1424054,1
1424060,5
1428054,1
1440056,1
1443052,3
1443054,1
1443056,1
1443058,7
1443060,1
1448052,54
1448054,4
1448056,77
1448058,33
1448060,17
1452058,1
1453052,4
1453054,1
1458055,2
1459052,4
1459054,5
1459058,2
1459060,4
1467060,2
1469054,1
1470054,2
1475052,2
1475054,2
1475056,1
1480054,1
1481052,1
1481056,1
1481058,1
1484052,1
1488052,157
1488054,155
1488056,159
1488058,2
1488060,2
1489056,1
1496060,1
1503056,1
1504052,18
1504054,2
1504056,1
1504060,4
1510054,62
1510056,157
1510058,96
1510060,159
1518052,80
1518054,88
1518056,3
1518058,81
1518060,79
1519052,8
1519054,11
1519056,12
1519058,5
1519060,7
1522054,1
1532054,1
1534052,80
1534054,83
1534056,84
1534058,37
1534060,44
1535052,1
1535054,2
1535058,3
1547054,1
1547056,1
1547058,1
1550056,1
1551056,2
1552054,1
1552056,1
1553052,2
1553054,1
1553056,4
1553058,3
1556058,1
1564056,1
1564060,1
1565054,2
1565056,1
1578056,2
1578058,2
1582060,1
1583054,1
1584052,124
1588052,2
1588056,1
1589058,1
1590012,1
1590052,1
1590056,1
1596058,1
1598052,1
1598054,1
1600056,1
1608056,1
1611052,1
1616056,4
1618054,4
1618056,2
1618060,1
1620058,1
1622054,1
1622056,1
1622058,1
1622060,1
1623052,1
1623054,1
1623056,2
1623058,3
1623060,2
1627058,2
1629058,1
1629060,1
1631058,3
1631060,2
1632060,1
1635052,1
1638052,1
1638054,3
1638056,1
1638058,1
1639052,1
1639058,5
1641052,1
1641054,1
1641056,1
1641060,1
1642056,1
1642060,1
1652056,1
1656052,1
1657056,1
1658054,1
1658056,1
1661054,1
1661058,1
1667058,1
1670054,1
1670056,1
1670058,2
1673054,1
1681052,2
1681054,2
1681056,2
1681060,1
1682056,1
1683054,1
1683056,2
1683058,1
1684052,1
1684056,1
1685056,2
1686052,1
1686056,1
1686058,1
1688052,67
1688054,68
1688056,59
1688058,40
1689052,64
1689054,63
1689056,62
1689058,44
1690054,2
1690058,1
1690060,2
1695058,1
1705052,1
1706052,1
1706054,1
1706058,88
1706060,73
1718060,1
1721058,1
1722052,1
1722054,2
1724056,1
1724058,1
1729052,1
1729056,1
1732060,1
1735056,1
1736052,1
1736054,1
1736056,3
1736060,23
1737052,1
1737060,1
1738052,1
1738054,1
1739052,1
1741052,1
1741054,2
1741056,3
1742060,1
1743052,2
1743058,1
1743060,2
1744060,2
1745052,2
1745056,1
1745060,1
1749056,2
1750052,18
1750054,26
1750056,27
1750058,15
1750060,19
1756056,1
1757060,1
1758058,1
1763056,1
1763060,1
1764052,1
1767054,1
1774052,1
1774054,2
1774056,1
1775058,2
1780052,2
1780054,2
1800058,1
1818054,2
1819058,1
1825052,2
1825054,1
1825056,1
1825058,1
1830056,1
1830058,1
1830060,1
1832058,1
1842056,1
1842058,1
1842060,1
1846054,1
1846056,1
1848054,1
1848058,1
1859054,1
1859056,1
1860060,1
1861056,2
1861058,1
1866052,1
1867054,1
1867058,1
1868060,1
1869052,2
1869060,1
1876054,1
1880058,1
1881052,1
1882058,1
1886052,1
1887060,2
1899052,2
1899056,1
1899058,1
1906056,1
1907052,1
1907054,1
1913054,1
1913056,2
1916054,1
1920054,1
1921054,2
1926052,2
1926054,1
1928052,1
1931052,1
1931056,1
1931060,2
1932056,1
1932058,2
1933054,4
1933056,5
1934052,1
1934056,1
1937060,1
1938056,1
1938058,1
1942054,1
1942056,2
1943052,1
1943056,3
1943058,1
1946058,1
1949052,1
1949056,2
1949058,1
1951058,2
1952052,1
1952054,1
1952056,1
1952058,2
1952060,4
1953054,1
1953056,1
1953058,3
1955056,1
1955060,1
1956054,2
1956058,1
1960054,1
1975054,1
1978054,1
1978056,1
1978058,4
1979052,3
1979054,4
1979056,2
1982056,2
1983054,1
1983056,1
1984054,1
1986058,1
1987054,1
1987060,1
1989054,1
1989056,1
1990056,1
1991052,1
1992056,1
1992060,1
1993052,1
1993056,1
1994056,1
1994058,1
1994060,2
1996058,2
1997056,2
1997060,1
1998052,1
1998056,1
1999056,1
2330060,1
6001042,30
6001044,29
6001046,30
6001048,40
6001050,40
10002054,2
10002056,1
10002058,1
10002060,1
10003054,1
10003056,5
10003060,1
10006060,2
10009054,1
10009058,1
10010056,1
10011058,1
10015054,1
10016054,1
10017056,1
10017060,1
10019058,1
10020054,1
10031056,1
10031058,1
10033054,1
10036056,1
10036060,1
10037056,1
10037058,1
10038056,1
10038058,1
10039052,1
10039054,1
10039058,1
10043054,5
10047056,1
10052052,16
10052054,23
10052056,23
10052058,27
10052060,20
10054052,1
10055052,2
10057060,1
10066052,1
10070058,1
10071054,6
10071058,2
10071060,1
10072054,2
10073052,1
10073054,1
10073056,3
10073060,1
10074060,1
10075052,9
10075054,86
10075056,6
10075058,11
10075060,4
10076052,1
10076056,1
10076060,1
10077052,5
10077058,1
10079052,1
10079054,1
10079056,1
10082058,1
10083058,1
10084056,1
10084058,2
10084060,2
10085052,2
10085056,1
10085058,1
10086052,1
10086054,1
10086056,1
10088054,1
10089052,1
10089058,2
10089060,1
10093056,1
10093058,1
10095056,1
10096060,1
10097052,1
10097054,1
10097056,3
10097058,3
10098054,3
10098058,2
10098060,2
10100054,1
10100060,1
10101052,1
10101054,1
10101056,2
10102056,1
10102060,1
10106054,2
10106060,1
10107056,1
10107058,1
10108056,5
10108058,5
10109056,2
10109058,1
10109060,1
10110056,1
10110058,2
10110060,1
